,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Clarence Town,AU,73.15,overcast clouds,-32.5833,151.7833,River Downs Cottage
660,Palembang,ID,87.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
661,Santa Isabel Do Rio Negro,BR,72.01,light rain,-0.4139,-65.0192,Hotel GSA
662,Brejo Santo,BR,71.67,broken clouds,-7.4933,-38.9872,Hotel Flor de Lis
664,Candolim,IN,82.49,broken clouds,15.5181,73.7626,Resort Terra Paraiso
666,Ambilobe,MG,81.82,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
669,Luba,GQ,79.81,light rain,3.4568,8.5547,
670,Misratah,LY,72.32,broken clouds,32.3754,15.0925,Almasa Hotel
672,Liuzhou,CN,81.3,scattered clouds,24.3126,109.3892,Linjiang Inn
677,Honiara,SB,83.68,broken clouds,-9.4333,159.95,Heritage Park Hotel
679,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
681,Maryborough,AU,74.1,overcast clouds,-25.5333,152.7,Blue Shades Motel
685,Qingyuan,CN,75.18,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
