,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Robertsport,LR,6.7533,-11.3686,77.2,84,53,1.23,broken clouds
80,Guaruja,BR,-23.9931,-46.2564,69.64,92,100,3.42,overcast clouds
81,Tommot,RU,58.9564,126.2925,30.76,85,100,7.92,overcast clouds
82,Norman Wells,CA,65.282,-126.8329,30.24,100,40,3.44,scattered clouds
83,Huarmey,PE,-10.0681,-78.1522,61.12,86,7,8.21,clear sky
84,Seddon,AU,-37.8068,144.8916,69.57,46,75,8.05,broken clouds
85,Honningsvag,NO,70.9821,25.9704,40.75,75,75,19.57,broken clouds
86,Kichera,RU,55.9375,110.0997,35.35,50,100,3.11,overcast clouds
87,Grand Island,US,40.925,-98.342,37.69,40,0,10.36,clear sky
88,Lebu,CL,-37.6167,-73.65,51.4,96,63,6.53,broken clouds
89,Ilulissat,GL,69.2167,-51.1,37.42,100,100,0.0,light intensity shower rain
90,Lavrentiya,RU,65.5833,-171.0,28.53,79,90,6.91,overcast clouds
91,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,11.5,scattered clouds
92,Tiksi,RU,71.6872,128.8694,12.94,86,96,11.52,overcast clouds
93,Ancud,CL,-41.8697,-73.8203,50.65,85,0,1.41,clear sky
94,Rikitea,PF,-23.1203,-134.9692,68.65,69,89,21.79,overcast clouds
95,Klyuchi,RU,52.2667,79.1667,44.47,63,86,12.57,overcast clouds
96,Talakan,RU,50.3167,130.3667,40.62,46,10,11.07,clear sky
97,Atuona,PF,-9.8,-139.0333,77.2,70,30,13.98,scattered clouds
98,Provideniya,RU,64.3833,-173.3,32.11,80,40,8.95,scattered clouds
99,Klaksvik,FO,62.2266,-6.589,40.12,70,95,13.49,overcast clouds
100,Kaitangata,NZ,-46.2817,169.8464,50.81,60,42,14.41,scattered clouds
101,Nichinan,JP,31.6,131.3667,73.08,67,92,0.6,overcast clouds
102,Tamandare,BR,-8.7597,-35.1047,73.85,86,64,7.65,broken clouds
103,Jiuquan,CN,39.7432,98.5174,64.06,8,0,8.59,clear sky
104,Amahai,ID,-3.3333,128.9167,85.1,70,97,5.79,overcast clouds
105,Thompson,CA,55.7435,-97.8558,30.36,59,100,3.44,overcast clouds
106,Olavarria,AR,-36.8927,-60.3225,50.02,77,90,9.98,overcast clouds
107,Esfarayen,IR,37.0765,57.5101,58.66,54,28,3.91,scattered clouds
108,Namibe,AO,-15.1961,12.1522,65.01,89,78,6.15,broken clouds
109,Senanga,ZM,-16.1167,23.2667,70.54,33,62,2.89,broken clouds
110,Petropavl,KZ,54.8753,69.1628,42.78,87,0,11.18,clear sky
111,Alenquer,BR,-1.9417,-54.7383,73.09,96,76,2.01,broken clouds
112,Victoria,HK,22.2855,114.1577,71.33,74,100,21.0,light rain
113,Khani,GE,41.9563,42.9566,53.17,94,99,1.43,overcast clouds
114,Bredasdorp,ZA,-34.5322,20.0403,60.13,91,66,2.71,broken clouds
115,Touros,BR,-5.1989,-35.4608,77.25,78,16,15.26,few clouds
116,Mastic Beach,US,40.7668,-72.8521,57.09,94,100,0.0,overcast clouds
117,Rojhan,PK,28.6868,69.9534,91.81,13,0,12.17,clear sky
118,Nuuk,GL,64.1835,-51.7216,41.61,87,75,18.41,light intensity shower rain
119,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,2.3,clear sky
120,San Cristobal,VE,7.7669,-72.225,68.18,98,100,1.25,moderate rain
121,Radis,TN,36.7681,10.2753,67.91,88,20,2.3,few clouds
122,Talnakh,RU,69.4865,88.3972,31.21,95,100,6.87,light snow
123,Ostrovnoy,RU,68.0531,39.5131,40.48,91,97,25.97,light rain
124,Hofn,IS,64.2539,-15.2082,40.15,57,61,4.85,broken clouds
125,Calamar,CO,10.2511,-74.9146,75.65,91,100,3.09,overcast clouds
126,Tucuman,AR,-26.8241,-65.2226,55.4,100,100,5.75,mist
127,Pangody,RU,65.85,74.4859,37.74,85,100,12.44,overcast clouds
128,Beaupre,CA,47.0443,-70.8953,55.67,84,100,10.36,overcast clouds
129,Dikson,RU,73.5069,80.5464,33.76,98,100,23.02,light snow
130,Ishigaki,JP,24.3448,124.1572,73.53,78,75,24.16,broken clouds
131,Darnah,LY,32.767,22.6367,68.56,71,87,22.24,light rain
132,Lady Lake,US,28.9175,-81.9229,73.35,96,0,4.61,clear sky
133,Dingle,PH,10.9995,122.6711,85.93,70,100,14.43,overcast clouds
134,Kingman,US,35.1894,-114.053,69.26,52,0,9.22,clear sky
135,Oranjemund,NA,-28.55,16.4333,58.78,88,77,6.73,broken clouds
136,Fairbanks,US,64.8378,-147.7164,36.09,86,75,0.0,broken clouds
137,Derzhavinsk,KZ,51.1,66.3167,46.35,55,68,8.32,broken clouds
138,Cabra,ES,37.4725,-4.4421,67.46,43,0,4.43,clear sky
139,Haimen,CN,23.1935,116.6142,67.89,67,100,20.6,overcast clouds
140,Chapais,CA,49.7834,-74.8492,44.38,73,100,13.04,overcast clouds
141,Deputatskiy,RU,69.3,139.9,6.15,94,100,5.06,overcast clouds
142,Saldanha,ZA,-33.0117,17.9442,53.65,90,84,7.34,broken clouds
143,Tukrah,LY,32.5341,20.5791,68.07,61,8,18.32,clear sky
144,Manokwari,ID,-0.8667,134.0833,84.79,66,97,6.96,overcast clouds
145,Hami,CN,42.8,93.45,67.86,14,67,3.29,broken clouds
146,Huntington,US,38.4193,-82.4452,40.93,67,40,6.91,scattered clouds
147,Longyearbyen,SJ,78.2186,15.6401,21.04,86,20,3.44,few clouds
148,Morondava,MG,-20.2833,44.2833,78.58,69,4,2.1,clear sky
149,Kloulklubed,PW,7.0419,134.2556,86.5,74,86,10.69,overcast clouds
150,Upernavik,GL,72.7868,-56.1549,35.28,96,100,40.87,light snow
151,Eureka,US,40.8021,-124.1637,57.67,88,100,1.01,overcast clouds
152,Katsuura,JP,35.1333,140.3,62.29,84,100,22.5,overcast clouds
153,Dwarka,IN,22.2394,68.9678,86.0,46,9,7.38,clear sky
154,Salalah,OM,17.0151,54.0924,78.89,65,40,3.44,scattered clouds
155,Alofi,NU,-19.0595,-169.9187,80.49,69,20,12.66,few clouds
156,Englewood,US,39.6478,-104.9878,50.23,55,0,10.36,clear sky
157,San Pedro,PH,14.35,121.0167,89.35,72,40,9.22,light rain
158,Buenos Aires,AR,-34.6132,-58.3772,61.95,80,75,19.57,broken clouds
159,Quatre Cocos,MU,-20.2078,57.7625,74.08,63,39,11.95,scattered clouds
160,Aklavik,CA,68.2191,-135.0107,24.91,91,71,4.21,broken clouds
161,Maxixe,MZ,-23.8597,35.3472,67.82,94,20,3.44,few clouds
162,Fortuna,US,40.5982,-124.1573,56.66,85,100,3.65,overcast clouds
163,Hasaki,JP,35.7333,140.8333,63.0,78,100,23.38,overcast clouds
164,Moundou,TD,8.5667,16.0833,71.71,91,28,3.6,scattered clouds
165,Cherskiy,RU,68.75,161.3,-3.3,99,26,2.21,scattered clouds
166,Regina,CA,50.4501,-104.6178,37.04,39,0,20.71,clear sky
